Date,"Seabed mining","Anglerfish"
2024-01-02,60,1410
2024-01-03,30,1384
2024-01-04,35,1424
2024-01-05,21,1454
2024-01-06,23,1584
2024-01-07,36,1509
2024-01-08,38,1421
2024-01-09,81,1487
2024-01-10,64,1630
2024-01-11,63,1747
2024-01-12,66,1747
2024-01-13,39,1788
2024-01-14,40,1837
2024-01-15,47,1521
2024-01-16,49,1514
2024-01-17,52,1684
2024-01-18,48,1705
2024-01-19,37,1484
2024-01-20,13,1462
2024-01-21,45,1516
2024-01-22,28,1586
2024-01-23,36,1546
2024-01-24,27,1657
2024-01-25,37,1490
2024-01-26,31,1465
2024-01-27,17,1467
2024-01-28,27,1465
2024-01-29,34,1505
2024-01-30,35,1566
2024-01-31,32,1642
2024-02-01,32,1689
2024-02-02,19,1870
2024-02-03,18,1793
2024-02-04,22,1777
2024-02-05,29,1754
2024-02-06,41,1660
2024-02-07,21,1643
2024-02-08,40,1711
2024-02-09,21,1774
2024-02-10,17,1654
2024-02-11,14,1647
2024-02-12,37,1455
2024-02-13,27,1486
2024-02-14,26,1527
2024-02-15,19,1432
2024-02-16,19,1365
2024-02-17,21,1324
2024-02-18,42,1625
2024-02-19,35,1525
2024-02-20,37,1513
2024-02-21,21,1533
2024-02-22,27,1492
2024-02-23,22,1475
2024-02-24,20,1593
2024-02-25,25,1674
2024-02-26,27,1769
2024-02-27,27,1611
2024-02-28,30,1584
2024-02-29,24,1528
2024-03-01,14,1521
2024-03-02,15,1461
2024-03-03,19,1436
2024-03-04,28,1551
2024-03-05,28,1655
2024-03-06,20,1550
2024-03-07,16,1592
2024-03-08,27,1418
2024-03-09,23,1291
2024-03-10,22,1512
2024-03-11,45,3891
2024-03-12,49,3456
2024-03-13,36,2010
2024-03-14,39,1651
2024-03-15,20,2385
2024-03-16,18,2268
2024-03-17,25,2018
2024-03-18,34,1961
2024-03-19,48,1464
2024-03-20,35,1644
2024-03-21,32,1728
2024-03-22,22,1790
2024-03-23,17,1692
2024-03-24,25,1860
2024-03-25,75,1546
2024-03-26,40,1516
2024-03-27,54,1467
2024-03-28,47,1689
2024-03-29,22,1515
2024-03-30,23,1421
2024-03-31,21,6003
2024-04-01,26,2582
2024-04-02,35,1777
2024-04-03,43,1473
2024-04-04,21,1713
2024-04-05,20,2163
2024-04-06,25,2487
2024-04-07,29,2420
2024-04-08,45,1941
2024-04-09,25,2229
2024-04-10,25,1891
2024-04-11,14,1735
2024-04-12,26,1782
2024-04-13,16,1740
2024-04-14,18,1725
2024-04-15,23,1951
2024-04-16,47,1805
2024-04-17,33,2151
2024-04-18,22,2198
2024-04-19,29,2162
2024-04-20,21,2103
2024-04-21,26,2167
2024-04-22,39,2122
2024-04-23,24,2179
2024-04-24,24,2108
2024-04-25,20,2006
2024-04-26,29,1995
2024-04-27,25,1775
2024-04-28,16,1986
2024-04-29,15,1888
2024-04-30,38,1836
2024-05-01,24,1909
2024-05-02,36,1871
2024-05-03,28,1767
2024-05-04,26,1646
2024-05-05,38,2456
2024-05-06,40,2131
2024-05-07,33,2107
2024-05-08,21,2101
2024-05-09,35,2104
2024-05-10,38,1860
