Date,"Polar bear","Great white shark","Blue whale","Anglerfish"
2023-09-10,3031,2809,3833,1227
2023-09-11,3532,2773,3457,1325
2023-09-12,3539,2547,3220,1242
2023-09-13,3471,2686,2936,1159
2023-09-14,3372,2915,3100,1249
2023-09-15,3095,2565,2919,1160
2023-09-16,2866,2854,3187,1226
2023-09-17,3066,2886,3263,1273
2023-09-18,3334,2919,3199,1269
2023-09-19,3794,2534,2987,1272
2023-09-20,3378,2441,2969,1241
2023-09-21,3790,2479,2946,1276
2023-09-22,3252,2329,3389,1272
2023-09-23,2998,2297,3150,1517
2023-09-24,3188,2316,3329,1437
2023-09-25,3433,2509,3308,1256
2023-09-26,3748,2278,2984,1188
2023-09-27,3804,2113,2932,1302
2023-09-28,3463,2137,3237,1322
2023-09-29,3261,2260,2838,1144
2023-09-30,3080,2334,3339,1323
2023-10-01,3265,2299,3389,1424
2023-10-02,4137,2465,3316,1423
2023-10-03,4108,2437,3113,1300
2023-10-04,3668,3413,2951,1365
2023-10-05,3655,2485,2915,1212
2023-10-06,3392,2399,2797,1237
2023-10-07,3093,2247,2793,1105
2023-10-08,3143,2151,3036,1273
2023-10-09,3404,2066,2851,1298
2023-10-10,3381,2219,2966,1356
2023-10-11,3301,2081,2855,1799
2023-10-12,3235,2273,2782,1660
2023-10-13,2979,2103,2654,1339
2023-10-14,2761,1983,2625,1362
2023-10-15,2965,1892,3117,1233
2023-10-16,3366,2206,2836,1266
2023-10-17,3336,2232,2782,1195
2023-10-18,3350,2226,2742,1409
2023-10-19,4185,2346,2745,1722
2023-10-20,3376,2211,2564,2254
2023-10-21,2860,2066,2962,2375
2023-10-22,2959,2400,3866,1681
2023-10-23,3454,2462,3163,1878
2023-10-24,3641,2423,3570,2054
2023-10-25,3405,2227,2920,1747
2023-10-26,3201,2662,3052,2034
2023-10-27,3067,2240,2855,2087
2023-10-28,2910,2007,2775,1841
2023-10-29,3102,2347,3216,1881
2023-10-30,3553,3208,2882,1706
2023-10-31,3121,2277,2522,2201
2023-11-01,3151,2334,2546,2687
2023-11-02,3258,2388,2954,2380
2023-11-03,3142,2328,2891,2516
2023-11-04,2596,2378,2740,1907
2023-11-05,3220,2287,2977,1696
2023-11-06,3643,2316,3266,1599
2023-11-07,3612,2299,3414,1488
2023-11-08,3635,2443,2964,1466
2023-11-09,3638,2212,2815,1603
2023-11-10,3266,2284,2711,1755
2023-11-11,2830,2193,3621,1676
2023-11-12,3159,2363,2850,1964
2023-11-13,3731,2252,3165,1710
2023-11-14,3887,2261,3414,1611
2023-11-15,3788,2186,3325,1562
2023-11-16,3639,2454,3281,1510
2023-11-17,3346,2227,3260,1646
2023-11-18,3249,2127,3064,1599
2023-11-19,3714,2406,3225,1659
2023-11-20,4264,2260,3085,1566
2023-11-21,4241,2365,3145,1423
2023-11-22,3877,2194,3157,1373
2023-11-23,3717,2223,7606,1590
2023-11-24,3434,2080,5075,1395
2023-11-25,3369,2065,4494,1369
2023-11-26,3672,2272,3940,1379
2023-11-27,3916,2229,3433,1447
2023-11-28,3795,2316,3127,1375
2023-11-29,4074,2107,3110,1426
2023-11-30,3887,2173,3176,1405
2023-12-01,3859,2254,2874,1294
2023-12-02,3417,1993,3075,1475
2023-12-03,3648,2196,3357,1436
2023-12-04,4365,2530,3289,1480
2023-12-05,4336,2757,3228,1697
2023-12-06,4505,2509,2979,1337
2023-12-07,4309,2196,3277,1411
2023-12-08,3777,2134,2884,1322
2023-12-09,3456,2125,3255,2141
2023-12-10,3798,2253,3853,3056
2023-12-11,4329,2436,4180,1901
2023-12-12,4120,2253,3692,1572
2023-12-13,4104,2289,4071,1629
2023-12-14,3778,2127,3382,1385
2023-12-15,3546,2216,2972,1260
2023-12-16,3179,2326,2954,1188
2023-12-17,3338,2233,3453,1196
