Date,"Anglerfish","Kendrick Lamar"
2024-11-17,1318,7198
2024-11-18,1432,7876
2024-11-19,1351,7578
2024-11-20,1281,7911
2024-11-21,1379,7324
2024-11-22,1205,107628
2024-11-23,1179,113450
2024-11-24,1193,61481
2024-11-25,1399,58586
2024-11-26,1189,63104
2024-11-27,1064,50395
2024-11-28,1417,40800
2024-11-29,1059,33221
2024-11-30,1159,28647
2024-12-01,1400,25376
2024-12-02,2591,27005
2024-12-03,2449,30555
2024-12-04,1824,29850
2024-12-05,1367,25823
2024-12-06,1255,24647
2024-12-07,1132,21726
2024-12-08,1045,18991
2024-12-09,1150,19577
2024-12-10,1167,19466
2024-12-11,1164,19379
2024-12-12,1186,18442
2024-12-13,1330,18756
2024-12-14,1263,17042
2024-12-15,1208,15075
2024-12-16,1310,15050
2024-12-17,1235,14409
2024-12-18,1095,14515
2024-12-19,1377,14278
2024-12-20,1101,13897
2024-12-21,1037,14723
2024-12-22,1102,13853
2024-12-23,1059,13565
2024-12-24,1056,13006
2024-12-25,1139,16249
2024-12-26,1144,18462
2024-12-27,1225,19522
2024-12-28,1566,14796
2024-12-29,1502,14758
2024-12-30,1486,14187
2024-12-31,1385,13822
2025-01-01,1248,15022
2025-01-02,1201,14781
2025-01-03,1232,14523
2025-01-04,1285,14070
2025-01-05,1179,16105
2025-01-06,1205,15452
2025-01-07,1214,13629
2025-01-08,1190,13787
2025-01-09,1171,13578
2025-01-10,1203,14202
2025-01-11,1129,14302
2025-01-12,1490,23102
2025-01-13,1365,16774
2025-01-14,1213,14136
2025-01-15,1336,15508
2025-01-16,1416,18711
2025-01-17,1457,15020
2025-01-18,1412,16220
2025-01-19,1558,26060
2025-01-20,1466,17187
2025-01-21,1362,13434
2025-01-22,1283,12426
2025-01-23,1537,14259
2025-01-24,1332,16922
2025-01-25,1738,16209
2025-01-26,1603,31786
2025-01-27,1486,37053
2025-01-28,1446,21917
2025-01-29,1595,27867
2025-01-30,1650,30159
2025-01-31,1734,27700
2025-02-01,1429,26831
2025-02-02,1168,27668
2025-02-03,1134,254242
2025-02-04,1250,119870
2025-02-05,1241,82924
2025-02-06,1561,83422
2025-02-07,12845,104675
2025-02-08,18029,93660
2025-02-09,13213,189211
2025-02-10,10861,1781900
2025-02-11,15267,508892
2025-02-12,19820,304246
2025-02-13,28028,217690
2025-02-14,30263,149043
2025-02-15,38444,121328
2025-02-16,34278,118265
2025-02-17,26988,89526
2025-02-18,18149,74769
2025-02-19,16194,61789
2025-02-20,13670,52142
2025-02-21,9516,47965
2025-02-22,8155,42880
2025-02-23,6971,40961
2025-02-24,6146,35445
2025-02-25,8707,33334
2025-02-26,12173,32151
2025-02-27,11315,33526
2025-02-28,8613,31121
2025-03-01,7285,27792
2025-03-02,6492,25956
2025-03-03,4574,24724
2025-03-04,3755,22412
2025-03-05,3166,21370
2025-03-06,3108,22548
2025-03-07,3111,25527
2025-03-08,2684,24072
2025-03-09,2509,23716
2025-03-10,2288,20084
2025-03-11,2130,18823
2025-03-12,2163,19685
2025-03-13,1975,19659
2025-03-14,2077,23478
2025-03-15,2049,22444
2025-03-16,2159,18480
2025-03-17,2420,16882
2025-03-18,1900,16644
2025-03-19,2055,14830
2025-03-20,1913,14506
2025-03-21,1674,14206
2025-03-22,1741,14094
2025-03-23,2036,13225
2025-03-24,1826,12314
2025-03-25,1513,12007
2025-03-26,1695,11757
2025-03-27,1579,11733
2025-03-28,1623,11700
2025-03-29,1460,10686
2025-03-30,1496,10822
2025-03-31,1624,10940
2025-04-01,1541,10586
2025-04-02,1356,10189
2025-04-03,1289,10039
2025-04-04,1312,10010
2025-04-05,3150,9468
2025-04-06,1643,9376
2025-04-07,1417,9280
2025-04-08,1312,9238
2025-04-09,1273,8912
2025-04-10,1303,8759
